video capture start
画像サイズ幅 : 1920.000000[pixel]
画像サイズ高さ : 1080.000000[pixel]
FPS : 59.416667[frame/s]
総フレーム数 : 288.000000[frame]
動画時間 : 4.847125[s]
frame : 110.000000, ms : 1851.332398, ratio : 0.000011
frame : 111.000000, ms : 1868.162693, ratio : 0.000011
frame : 112.000000, ms : 1884.992987, ratio : 0.000011
frame : 113.000000, ms : 1901.823282, ratio : 0.000011
frame : 114.000000, ms : 1918.653576, ratio : 0.000011
frame : 115.000000, ms : 1935.483871, ratio : 0.000011
frame : 116.000000, ms : 1952.314165, ratio : 0.000011
frame : 117.000000, ms : 1969.144460, ratio : 0.000011
frame : 118.000000, ms : 1985.974755, ratio : 0.000011
frame : 119.000000, ms : 2002.805049, ratio : 0.000011
frame : 120.000000, ms : 2019.635344, ratio : 0.000011
frame : 121.000000, ms : 2036.465638, ratio : 0.000011
frame : 122.000000, ms : 2053.295933, ratio : 0.000011
frame : 123.000000, ms : 2070.126227, ratio : 0.000011
frame : 124.000000, ms : 2086.956522, ratio : 0.000011
frame : 125.000000, ms : 2103.786816, ratio : 0.000011
frame : 126.000000, ms : 2120.617111, ratio : 0.000011
frame : 127.000000, ms : 2137.447405, ratio : 0.000011
frame : 128.000000, ms : 2154.277700, ratio : 0.000011
frame : 129.000000, ms : 2171.107994, ratio : 0.000011
frame : 130.000000, ms : 2187.938289, ratio : 0.000011
frame : 131.000000, ms : 2204.768583, ratio : 0.000011
frame : 132.000000, ms : 2221.598878, ratio : 0.000011
frame : 133.000000, ms : 2238.429173, ratio : 0.000011
frame : 134.000000, ms : 2255.259467, ratio : 0.000011
frame : 135.000000, ms : 2272.089762, ratio : 0.000011
frame : 136.000000, ms : 2288.920056, ratio : 0.000011
frame : 137.000000, ms : 2305.750351, ratio : 0.000011
frame : 138.000000, ms : 2322.580645, ratio : 0.000011
frame : 139.000000, ms : 2339.410940, ratio : 0.000011
frame : 140.000000, ms : 2356.241234, ratio : 0.000011
frame : 141.000000, ms : 2373.071529, ratio : 0.000011
frame : 142.000000, ms : 2389.901823, ratio : 0.000011
frame : 143.000000, ms : 2406.732118, ratio : 0.000011
frame : 144.000000, ms : 2423.562412, ratio : 0.000011
frame : 145.000000, ms : 2440.392707, ratio : 0.000011
frame : 146.000000, ms : 2457.223001, ratio : 0.000011
frame : 147.000000, ms : 2474.053296, ratio : 0.000011
frame : 148.000000, ms : 2490.883590, ratio : 0.000011
frame : 149.000000, ms : 2507.713885, ratio : 0.000011
frame : 150.000000, ms : 2524.544180, ratio : 0.000011
frame : 151.000000, ms : 2541.374474, ratio : 0.000011
frame : 152.000000, ms : 2558.204769, ratio : 0.000011
frame : 153.000000, ms : 2575.035063, ratio : 0.000011
frame : 154.000000, ms : 2591.865358, ratio : 0.000011
